mtu,zone,level,price_engine,price_official,diff,interval_low,interval_high,official_in_interval,volume_engine,volume_official,n_orders,coherence
59,MI,1,39.1,50.08,-10.98,50.0,50.6,1,39731.3,38768.4,3859,OK
60,MI,1,39.1,51.0,-11.9,50.0,55.0,1,39787.5,38824.6,3863,OK
61,MI,1,42.49,61.65,-19.16,60.0,64.93,1,39899.1,38953.0,3863,OK
62,MI,1,39.9,59.41,-19.51,58.75,59.99,1,39954.4,39018.8,3870,OK
63,MI,1,38.88,50.01,-11.13,50.0,50.01,1,40029.3,39066.9,3876,OK
64,MI,1,38.77,50.0,-11.23,50.0,50.0,1,40051.8,39089.5,3875,OK
65,MI,1,39.1,55.94,-16.84,55.0,55.94,1,40016.4,39060.3,3882,OK
66,MI,1,50.0,65.0,-15.0,63.53,65.0,1,40025.2,39082.1,3893,OK
67,MI,1,50.6,75.0,-24.4,70.0,75.0,1,39980.3,39050.7,3889,OK
68,MI,1,65.0,84.25,-19.25,83.35,84.25,1,39823.8,38937.3,3890,OK
69,MI,1,80.0,89.9,-9.9,89.65,89.9,1,39437.0,38772.1,3902,OK
70,MI,1,88.9,95.0,-6.1,94.45,95.0,1,35284.5,35009.3,3889,OK
71,MI,1,94.45,100.0,-5.55,100.0,100.0,1,35332.2,34508.7,3882,OK
72,MI,1,105.0,115.0,-10.0,115.0,115.0,1,34780.2,34053.3,3877,OK
73,MI,1,110.0,119.01,-9.01,119.0,119.01,1,33624.8,32902.1,3904,OK
74,MI,1,119.4,128.7,-9.3,128.0,128.7,1,32469.2,31503.7,3952,OK
75,MI,1,132.5,160.0,-27.5,159.0,160.0,1,31913.1,31211.3,3976,OK
76,MI,1,171.75,196.7,-24.95,196.7,197.87,1,30988.5,30206.7,4006,OK
77,MI,1,144.5,171.75,-27.25,171.75,172.47,1,30763.0,29777.6,4030,OK
78,MI,1,196.7,211.3,-14.6,211.3,217.3,1,30017.3,29631.9,4001,OK
79,MI,1,212.24,226.0,-13.76,226.0,226.41,1,30227.7,30099.0,3965,OK
80,MI,1,222.14,252.22,-30.08,252.22,255.0,1,30757.8,30185.9,3846,OK
81,MI,1,221.12,250.01,-28.89,250.01,256.31,1,30599.4,30130.7,3489,OK
82,MI,1,221.12,252.22,-31.1,252.22,254.99,1,30551.2,30045.7,3185,OK
83,MI,1,220.0,245.93,-25.93,244.21,246.0,1,30000.2,29463.8,2821,OK
84,MI,1,216.0,238.7,-22.7,237.98,239.34,1,29272.4,28873.2,2686,OK
85,MI,1,214.18,231.3,-17.12,230.79,233.11,1,28947.6,28553.6,2547,OK
86,MI,1,211.3,226.54,-15.24,226.0,227.2,1,28010.1,27818.6,2541,OK
87,MI,1,208.79,223.45,-14.66,220.03,224.99,1,27338.6,27035.4,2552,OK
88,MI,1,180.0,208.0,-28.0,207.5,209.22,1,25534.9,24629.2,2518,OK
89,MI,1,197.87,212.98,-15.11,212.6,215.29,1,26629.4,26294.4,2505,OK
90,MI,1,177.99,203.76,-25.77,201.0,205.0,1,25707.1,24855.7,2500,OK
91,MI,1,171.75,200.0,-28.25,200.0,200.0,1,25616.5,24696.9,2492,OK
92,MI,1,164.06,188.01,-23.95,185.49,188.62,1,25140.5,24353.5,2489,OK
93,MI,1,160.0,195.24,-35.24,195.0,195.91,1,24760.6,23583.1,2466,OK
94,MI,1,137.0,187.35,-50.35,185.49,188.0,1,24687.6,23579.3,2464,OK
95,MI,1,130.0,180.67,-50.67,179.84,182.31,1,24446.1,23408.0,2454,OK
96,MI,1,125.0,171.05,-46.05,171.0,172.0,1,24463.5,22964.7,2454,OK
1,MI,2,227.24,227.24,0.0,227.24,228.26,1,22305.2,22305.2,2369,OK
2,MI,2,226.75,226.75,0.0,226.75,226.99,1,21961.1,21961.1,2332,OK
3,MI,2,225.01,225.01,0.0,225.01,225.31,1,21384.5,21384.5,2329,OK
4,MI,2,224.0,224.0,0.0,224.0,224.23,1,20911.7,20911.7,2324,OK
5,MI,2,225.0,225.0,0.0,225.0,225.0,1,20659.7,20665.3,2295,OK
6,MI,2,219.62,219.62,0.0,219.49,219.62,1,20363.7,20363.7,2311,OK
7,MI,2,219.49,219.49,0.0,219.49,220.0,1,19940.5,19940.5,2276,OK
8,MI,2,215.76,215.76,0.0,215.76,216.87,1,19634.7,19634.7,2266,OK
9,MI,2,215.76,215.76,0.0,215.76,215.99,1,19315.0,19315.0,2261,OK
10,MI,2,214.18,214.18,0.0,214.18,214.75,1,19045.8,19045.8,2266,OK
11,MI,2,214.12,214.12,0.0,214.12,214.63,1,18737.9,18737.9,2254,OK
12,MI,2,214.03,214.03,0.0,213.23,214.03,1,18548.3,18548.3,2249,OK
13,MI,2,214.18,214.18,0.0,214.18,216.94,1,18439.8,18439.8,2264,OK
14,MI,2,214.12,214.12,0.0,214.12,216.51,1,18265.1,18265.1,2263,OK
15,MI,2,214.12,214.12,0.0,214.12,215.77,1,18148.9,18148.9,2266,OK
16,MI,2,214.12,214.12,0.0,214.12,215.78,1,18032.4,18032.4,2254,OK
17,MI,2,213.18,213.18,0.0,213.18,214.86,1,17921.8,17921.8,2262,OK
18,MI,2,213.18,213.18,0.0,213.18,214.92,1,17827.4,17827.4,2260,OK
19,MI,2,213.18,213.18,0.0,213.18,214.59,1,17773.6,17773.6,2262,OK
20,MI,2,213.18,213.18,0.0,213.18,214.45,1,17745.6,17745.6,2254,OK
21,MI,2,212.24,212.24,0.0,212.24,212.9,1,17473.8,17473.8,2278,OK
22,MI,2,212.6,212.6,0.0,212.6,213.01,1,17536.2,17536.2,2271,OK
23,MI,2,213.18,213.18,0.0,213.18,214.61,1,17775.7,17775.7,2273,OK
