mtu,zone,level,price_engine,price_official,diff,interval_low,interval_high,official_in_interval,volume_engine,volume_official,n_orders,coherence
1,MI,1,83.7,85.28,-1.58,85.28,86.72,1,23380.2,23135.2,2324,OK
2,MI,1,77.31,83.7,-6.39,83.7,84.0,1,22774.6,22568.0,2288,OK
3,MI,1,74.77,76.92,-2.15,76.92,77.58,1,21659.0,21593.3,2279,OK
4,MI,1,66.82,76.2,-9.38,76.2,76.47,1,21184.5,20910.9,2271,OK
5,MI,1,76.44,77.64,-1.2,77.64,79.99,1,21443.2,21400.3,2264,OK
6,MI,1,72.0,76.44,-4.44,76.44,77.62,1,20739.1,20528.4,2257,OK
7,MI,1,67.0,76.2,-9.2,76.2,76.84,1,20483.9,20208.6,2258,OK
8,MI,1,65.6,74.2,-8.6,74.2,75.64,1,20103.3,19768.3,2253,OK
9,MI,1,64.0,70.0,-6.0,70.0,70.0,1,19799.7,19600.8,2258,OK
10,MI,1,54.38,65.6,-11.22,65.6,66.4,1,19621.8,19095.5,2256,OK
11,MI,1,50.0,65.0,-15.0,65.0,65.0,1,19496.3,18940.5,2257,OK
12,MI,1,50.0,62.52,-12.52,60.55,62.52,1,19418.7,18779.4,2248,OK
13,MI,1,48.9,65.0,-16.1,65.0,65.0,1,19617.9,18721.7,2247,OK
14,MI,1,47.2,61.5,-14.3,60.55,61.5,1,19709.2,18667.6,2247,OK
15,MI,1,47.07,60.0,-12.93,60.0,60.0,1,19664.6,18600.8,2248,OK
16,MI,1,47.07,59.92,-12.85,59.3,59.92,1,19633.2,18553.3,2241,OK
17,MI,1,46.94,59.66,-12.72,59.3,59.66,1,19688.2,18518.3,2268,OK
18,MI,1,46.94,59.0,-12.06,57.94,59.0,1,19665.6,18473.5,2267,OK
19,MI,1,46.94,59.0,-12.06,57.94,59.0,1,19668.9,18476.8,2272,OK
20,MI,1,46.94,60.0,-13.06,60.0,60.0,1,19686.0,18516.9,2270,OK
21,MI,1,46.94,60.82,-13.88,60.55,60.82,1,19783.0,18561.4,2288,OK
22,MI,1,47.07,64.0,-16.93,62.94,64.0,1,19756.9,18535.4,2277,OK
23,MI,1,47.2,65.0,-17.8,65.0,65.0,1,19721.5,18676.3,2279,OK
24,MI,1,50.0,70.0,-20.0,70.0,70.0,1,19676.6,18963.5,2271,OK
25,MI,1,55.18,76.44,-21.26,76.44,78.61,1,20209.1,19538.9,2399,OK
26,MI,1,65.8,77.64,-11.84,77.64,78.02,1,20591.2,20361.6,2426,OK
27,MI,1,74.2,83.0,-8.8,80.06,83.0,1,20897.7,20465.4,2500,OK
28,MI,1,76.2,85.0,-8.8,85.0,85.38,1,21270.1,20839.2,2743,OK
29,MI,1,76.68,86.86,-10.18,86.86,86.93,1,22457.2,21918.7,3236,OK
30,MI,1,74.2,83.7,-9.5,83.7,84.0,1,22800.8,22261.5,3604,OK
31,MI,1,60.0,76.44,-16.44,76.44,78.31,1,23288.0,22611.8,3696,OK
32,MI,1,46.81,62.5,-15.69,62.0,62.5,1,24468.2,23096.6,3751,OK
