mtu,zone,level,price_engine,price_official,diff,interval_low,interval_high,official_in_interval,volume_engine,volume_official,n_orders,coherence
33,MI,1,60.0,77.16,-17.16,77.16,78.23,1,25831.7,25380.7,3757,OK
34,MI,1,46.55,50.01,-3.46,50.01,51.85,1,27570.0,25818.5,3776,OK
35,MI,1,30.0,39.48,-9.48,37.0,39.48,1,31217.9,29763.9,3817,OK
36,MI,1,2.2,15.23,-13.03,14.9,15.23,1,32854.1,31646.3,3833,OK
37,MI,1,2.76,14.94,-12.18,14.9,14.94,1,35606.9,34986.5,3829,OK
38,MI,1,0.84,2.21,-1.37,2.2,2.21,1,35684.7,35581.5,3822,OK
39,MI,1,0.01,0.84,-0.83,0.84,1.0,1,35527.6,35413.0,3825,OK
40,MI,1,-0.0,0.0,-0.0,0.0,0.0,1,34177.8,34282.6,3813,OK
41,MI,1,-0.0,0.0,-0.0,0.0,0.0,1,34549.5,34621.1,3833,OK
42,MI,1,-0.01,0.0,-0.01,0.0,0.0,1,33834.9,33834.9,3846,OK
43,MI,1,-0.01,0.0,-0.01,-0.01,0.0,1,34197.0,34197.0,3839,OK
44,MI,1,-0.01,-0.01,0.0,-0.01,0.0,1,34613.9,34613.9,3843,OK
45,MI,1,-0.01,-0.01,0.0,-0.01,0.0,1,35293.2,35293.2,3827,OK
46,MI,1,-0.01,-0.01,0.0,-0.01,0.0,1,35458.9,35458.9,3830,OK
47,MI,1,-0.01,-0.01,0.0,-0.01,0.0,1,35494.6,35494.6,3832,OK
48,MI,1,-0.02,-0.01,-0.01,-0.01,0.0,1,35573.5,35573.5,3825,OK
49,MI,1,-0.02,-0.01,-0.01,-0.01,-0.01,1,35735.9,35735.9,3836,OK
50,MI,1,-0.02,-0.01,-0.01,-0.01,0.0,1,35937.0,35937.0,3838,OK
51,MI,1,-0.02,-0.01,-0.01,-0.01,0.0,1,36099.8,36099.8,3839,OK
52,MI,1,-0.05,-0.01,-0.04,-0.01,0.0,1,36106.2,36106.2,3838,OK
53,MI,1,-0.16,-0.01,-0.15,-0.01,0.0,1,35978.5,35978.5,3848,OK
54,MI,1,-0.39,-0.01,-0.38,-0.02,0.0,1,35847.6,35847.6,3850,OK
55,MI,1,-0.5,-0.02,-0.48,-0.02,0.0,1,35689.1,35689.1,3853,OK
56,MI,1,-0.5,-0.02,-0.48,-0.03,0.0,1,35696.3,35696.3,3844,OK
57,MI,1,-0.39,-0.01,-0.38,-0.02,0.0,1,35943.6,35943.6,3846,OK
58,MI,1,-0.39,-0.02,-0.37,-0.02,0.0,1,35920.9,35920.9,3839,OK
59,MI,1,-0.5,-0.02,-0.48,-0.03,0.0,1,35837.5,35837.5,3840,OK
60,MI,1,-0.5,-0.3,-0.2,-0.3,0.0,1,35523.1,35523.1,3829,OK
61,MI,1,-0.72,-0.5,-0.22,-0.5,-0.5,1,35058.8,35058.8,3841,OK
62,MI,1,-0.81,-0.5,-0.31,-0.5,-0.5,1,34889.4,34889.4,3836,OK
63,MI,1,-0.81,-0.66,-0.15,-0.66,-0.5,1,34796.2,34796.2,3840,OK
64,MI,1,-0.81,-0.66,-0.15,-0.66,-0.5,1,34772.8,34772.8,3840,OK
65,MI,1,-0.81,-0.5,-0.31,-0.5,-0.5,1,34810.8,34809.6,3842,OK
66,MI,1,-0.8,-0.5,-0.3,-0.5,-0.5,1,34862.2,34852.2,3839,OK
67,MI,1,-0.72,-0.5,-0.22,-0.5,-0.5,1,35102.1,35076.0,3845,OK
68,MI,1,-0.5,-0.3,-0.2,-0.3,0.0,1,35280.8,35280.8,3839,OK
69,MI,1,-0.5,-0.05,-0.45,-0.1,0.0,1,35182.2,35182.2,3861,OK
70,MI,1,-0.3,-0.01,-0.29,-0.01,0.0,1,35537.6,35507.6,3863,OK
71,MI,1,-0.02,-0.01,-0.01,-0.01,0.0,1,35897.4,35897.4,3859,OK
72,MI,1,-0.01,-0.01,0.0,-0.01,0.0,1,35973.2,35973.2,3862,OK
73,MI,1,-0.01,0.0,-0.01,-0.01,0.0,1,35679.5,35679.5,3882,OK
74,MI,1,-0.0,0.0,-0.0,0.0,0.0,1,36434.0,36506.1,3881,OK
75,MI,1,-0.0,0.0,-0.0,0.0,0.0,1,37123.4,37180.8,3888,OK
76,MI,1,0.01,0.84,-0.83,0.84,2.21,1,38431.9,38317.3,3886,OK
77,MI,1,-0.0,0.5,-0.5,0.5,1.0,1,36516.3,36400.2,3874,OK
78,MI,1,0.1,1.5,-1.4,1.5,2.21,1,36666.2,36527.8,3888,OK
79,MI,1,1.0,8.73,-7.73,8.73,10.77,1,36998.1,36365.4,3920,OK
80,MI,1,5.59,38.03,-32.44,37.0,38.03,1,36938.1,35132.5,3905,OK
81,MI,1,1.0,20.0,-19.0,19.9,20.0,1,34553.5,33302.6,3906,OK
82,MI,1,9.97,46.68,-36.71,45.89,46.68,1,32175.3,29317.0,3863,OK
83,MI,1,38.03,67.43,-29.4,67.28,67.46,1,31327.3,28018.6,3842,OK
84,MI,1,46.94,84.93,-37.99,83.7,84.93,1,29533.3,27756.5,3886,OK
85,MI,1,46.94,85.28,-38.34,85.28,85.65,1,28356.0,26684.7,3796,OK
86,MI,1,59.9,94.49,-34.59,93.58,94.49,1,27764.9,26696.1,3631,OK
87,MI,1,70.0,97.5,-27.5,97.31,97.5,1,27553.2,26623.3,3229,OK
88,MI,1,60.0,95.66,-35.66,95.56,95.66,1,27090.1,26197.2,2850,OK
89,MI,1,55.0,88.63,-33.63,88.63,89.58,1,26938.8,26105.0,2666,OK
90,MI,1,50.0,86.86,-36.86,86.86,88.0,1,26662.6,25724.9,2664,OK
91,MI,1,55.0,88.44,-33.44,88.44,89.0,1,27062.6,26140.1,2661,OK
92,MI,1,46.94,79.85,-32.91,77.64,79.85,1,26404.1,24986.8,2646,OK
93,MI,1,46.81,81.8,-34.99,77.64,82.0,1,26356.5,24403.8,2508,OK
94,MI,1,46.94,76.44,-29.5,76.44,79.0,1,24881.2,23540.3,2403,OK
95,MI,1,48.9,75.66,-26.76,74.77,75.66,1,24047.3,23228.2,2393,OK
96,MI,1,46.81,60.2,-13.39,60.2,63.33,1,23999.3,22703.6,2379,OK
1,MI,2,85.28,85.28,0.0,85.28,86.72,1,23135.2,23135.2,2257,OK
2,MI,2,83.7,83.7,0.0,83.7,84.0,1,22568.0,22568.0,2221,OK
3,MI,2,76.92,76.92,0.0,76.92,77.58,1,21593.3,21593.3,2213,OK
4,MI,2,76.2,76.2,0.0,76.2,76.47,1,20910.9,20910.9,2205,OK
5,MI,2,77.64,77.64,0.0,77.64,79.99,1,21400.3,21400.3,2198,OK
6,MI,2,76.44,76.44,0.0,76.44,77.62,1,20528.4,20528.4,2191,OK
7,MI,2,76.2,76.2,0.0,76.2,76.84,1,20208.6,20208.6,2192,OK
8,MI,2,74.2,74.2,0.0,74.2,75.64,1,19768.3,19768.3,2187,OK
9,MI,2,70.0,70.0,0.0,70.0,70.0,1,19562.2,19600.8,2191,OK
10,MI,2,65.6,65.6,0.0,65.6,66.4,1,19095.5,19095.5,2189,OK
11,MI,2,65.0,65.0,0.0,65.0,65.0,1,18895.5,18940.5,2190,OK
12,MI,2,62.52,62.52,0.0,60.55,62.52,1,18779.4,18779.4,2181,OK
13,MI,2,65.0,65.0,0.0,65.0,65.0,1,18697.7,18721.7,2175,OK
14,MI,2,61.5,61.5,0.0,60.55,61.5,1,18667.6,18667.6,2175,OK
15,MI,2,60.0,60.0,0.0,60.0,60.0,1,18584.8,18600.8,2176,OK
16,MI,2,59.92,59.92,0.0,59.3,59.92,1,18553.3,18553.3,2167,OK
17,MI,2,59.66,59.66,0.0,59.3,59.66,1,18518.3,18518.3,2177,OK
18,MI,2,59.0,59.0,0.0,57.94,59.0,1,18473.5,18473.5,2175,OK
19,MI,2,59.0,59.0,0.0,57.94,59.0,1,18476.8,18476.8,2175,OK
20,MI,2,60.0,60.0,0.0,60.0,60.0,1,18516.2,18516.9,2170,OK
21,MI,2,60.82,60.82,0.0,60.55,60.82,1,18561.4,18561.4,2185,OK
22,MI,2,64.0,64.0,0.0,62.94,64.0,1,18535.4,18535.4,2174,OK
23,MI,2,65.0,65.0,0.0,65.0,65.0,1,18654.9,18676.3,2175,OK
24,MI,2,70.0,70.0,0.0,70.0,70.0,1,18951.5,18963.5,2167,OK
25,MI,2,76.44,76.44,0.0,76.44,78.61,1,19538.9,19538.9,2232,OK
26,MI,2,77.64,77.64,0.0,77.64,78.02,1,20361.6,20361.6,2259,OK
27,MI,2,83.0,83.0,0.0,80.06,83.0,1,20465.4,20465.4,2333,OK
28,MI,2,85.0,85.0,0.0,85.0,85.38,1,20839.2,20839.2,2576,OK
29,MI,2,86.86,86.86,0.0,86.86,86.93,1,21918.7,21918.7,3058,OK
30,MI,2,83.7,83.7,0.0,83.7,84.0,1,22261.5,22261.5,3426,OK
31,MI,2,76.44,76.44,0.0,76.44,78.31,1,22611.8,22611.8,3516,OK
32,MI,2,62.5,62.5,0.0,62.0,62.5,1,23096.6,23096.6,3571,OK
33,MI,2,77.16,77.16,0.0,77.16,78.23,1,25380.7,25380.7,3577,OK
34,MI,2,50.01,50.01,0.0,50.01,51.85,1,25818.5,25818.5,3596,OK
35,MI,2,39.48,39.48,0.0,37.0,39.48,1,29763.9,29763.9,3637,OK
36,MI,2,15.23,15.23,0.0,14.9,15.23,1,31646.3,31646.3,3653,OK
37,MI,2,14.94,14.94,0.0,14.9,14.94,1,34986.5,34986.5,3649,OK
38,MI,2,2.21,2.21,0.0,2.2,2.21,1,35581.5,35581.5,3642,OK
39,MI,2,0.84,0.84,0.0,0.84,1.0,1,35413.0,35413.0,3645,OK
40,MI,2,-0.0,0.0,-0.0,0.0,0.0,1,34177.8,34282.6,3633,OK
41,MI,2,-0.0,0.0,-0.0,0.0,0.0,1,34549.5,34621.1,3656,OK
42,MI,2,-0.0,0.0,-0.0,0.0,0.0,1,33763.3,33834.9,3669,OK
43,MI,2,-0.0,0.0,-0.0,-0.01,0.0,1,34197.0,34197.0,3662,OK
44,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,34613.9,34613.9,3666,OK
45,MI,2,-0.0,-0.01,0.01,-0.01,0.0,1,35293.2,35293.2,3651,OK
46,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,35458.9,35458.9,3655,OK
47,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,35494.6,35494.6,3658,OK
48,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,35573.5,35573.5,3651,OK
49,MI,2,-0.01,-0.01,0.0,-0.01,-0.01,1,35735.0,35735.9,3662,OK
50,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,35937.0,35937.0,3664,OK
51,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,36099.8,36099.8,3665,OK
52,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,36106.2,36106.2,3664,OK
53,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,35978.5,35978.5,3671,OK
54,MI,2,-0.02,-0.01,-0.01,-0.02,0.0,1,35847.6,35847.6,3673,OK
55,MI,2,-0.02,-0.02,0.0,-0.02,0.0,1,35689.1,35689.1,3676,OK
56,MI,2,-0.03,-0.02,-0.01,-0.03,0.0,1,35696.3,35696.3,3667,OK
57,MI,2,-0.01,-0.01,0.0,-0.02,0.0,1,35943.6,35943.6,3669,OK
58,MI,2,-0.02,-0.02,0.0,-0.02,0.0,1,35920.9,35920.9,3662,OK
59,MI,2,-0.03,-0.02,-0.01,-0.03,0.0,1,35837.5,35837.5,3663,OK
60,MI,2,-0.3,-0.3,0.0,-0.3,0.0,1,35523.1,35523.1,3652,OK
61,MI,2,-0.5,-0.5,0.0,-0.5,-0.5,1,35019.6,35058.8,3664,OK
62,MI,2,-0.5,-0.5,0.0,-0.5,-0.5,1,34850.9,34889.4,3659,OK
63,MI,2,-0.66,-0.66,0.0,-0.66,-0.5,1,34796.2,34796.2,3663,OK
64,MI,2,-0.66,-0.66,0.0,-0.66,-0.5,1,34772.8,34772.8,3663,OK
65,MI,2,-0.5,-0.5,0.0,-0.5,-0.5,1,34774.0,34809.6,3665,OK
66,MI,2,-0.5,-0.5,0.0,-0.5,-0.5,1,34814.3,34852.2,3662,OK
67,MI,2,-0.5,-0.5,0.0,-0.5,-0.5,1,35064.1,35076.0,3666,OK
68,MI,2,-0.3,-0.3,0.0,-0.3,0.0,1,35280.8,35280.8,3660,OK
69,MI,2,-0.05,-0.05,0.0,-0.1,0.0,1,35182.2,35182.2,3680,OK
70,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,35507.6,35507.6,3681,OK
71,MI,2,-0.01,-0.01,0.0,-0.01,0.0,1,35897.4,35897.4,3676,OK
72,MI,2,-0.0,-0.01,0.01,-0.01,0.0,1,35973.2,35973.2,3678,OK
73,MI,2,-0.0,0.0,-0.0,-0.01,0.0,1,35679.5,35679.5,3697,OK
74,MI,2,-0.0,0.0,-0.0,0.0,0.0,1,36434.0,36506.1,3695,OK
75,MI,2,-0.0,0.0,-0.0,0.0,0.0,1,37123.4,37180.8,3702,OK
76,MI,2,0.84,0.84,0.0,0.84,2.21,1,38317.3,38317.3,3700,OK
77,MI,2,0.5,0.5,0.0,0.5,1.0,1,36400.2,36400.2,3688,OK
78,MI,2,1.5,1.5,0.0,1.5,2.21,1,36527.8,36527.8,3695,OK
79,MI,2,8.73,8.73,0.0,8.73,10.77,1,36365.4,36365.4,3725,OK
80,MI,2,38.03,38.03,0.0,37.0,38.03,1,35132.5,35132.5,3710,OK
81,MI,2,20.0,20.0,0.0,19.9,20.0,1,33302.6,33302.6,3709,OK
82,MI,2,46.68,46.68,0.0,45.89,46.68,1,29317.0,29317.0,3666,OK
83,MI,2,67.28,67.43,-0.15,67.28,67.46,1,28018.6,28018.6,3611,OK
84,MI,2,84.93,84.93,0.0,83.7,84.93,1,27756.5,27756.5,3543,OK
85,MI,2,85.28,85.28,0.0,85.28,85.65,1,26684.7,26684.7,3425,OK
86,MI,2,94.49,94.49,0.0,93.58,94.49,1,26696.1,26696.1,3260,OK
87,MI,2,97.5,97.5,0.0,97.31,97.5,1,26623.3,26623.3,2858,OK
88,MI,2,95.66,95.66,0.0,95.56,95.66,1,26197.2,26197.2,2479,OK
89,MI,2,88.63,88.63,0.0,88.63,89.58,1,26105.0,26105.0,2295,OK
90,MI,2,86.86,86.86,0.0,86.86,88.0,1,25724.9,25724.9,2293,OK
91,MI,2,88.44,88.44,0.0,88.44,89.0,1,26140.1,26140.1,2290,OK
92,MI,2,79.85,79.85,0.0,77.64,79.85,1,24986.8,24986.8,2275,OK
93,MI,2,81.02,81.8,-0.78,77.64,82.0,1,24403.8,24403.8,2228,OK
94,MI,2,76.44,76.44,0.0,76.44,79.0,1,23540.3,23540.3,2210,OK
95,MI,2,75.66,75.66,0.0,74.77,75.66,1,23228.2,23228.2,2208,OK
96,MI,2,60.2,60.2,0.0,60.2,63.33,1,22703.6,22703.6,2199,OK
