mtu,zone,level,price_engine,price_official,diff,interval_low,interval_high,official_in_interval,volume_engine,volume_official,n_orders,coherence
1,MI,1,107.01,110.47,-3.46,110.01,110.47,1,24644.6,24407.0,2218,OK
2,MI,1,101.0,108.87,-7.87,108.87,109.0,1,24379.2,23681.1,2178,OK
3,MI,1,89.5,100.87,-11.37,100.0,101.0,1,24062.8,23159.0,2184,OK
4,MI,1,83.0,94.99,-11.99,94.9,94.99,1,24121.6,23287.5,2187,OK
5,MI,1,91.0,105.01,-14.01,105.01,105.07,1,23605.7,22408.0,2199,OK
6,MI,1,85.6,99.0,-13.4,97.5,99.0,1,23785.1,22541.0,2197,OK
7,MI,1,85.43,97.5,-12.07,97.5,97.5,1,23973.6,22729.5,2201,OK
8,MI,1,85.43,91.0,-5.57,90.0,91.0,1,24124.5,22738.5,2193,OK
9,MI,1,86.34,95.75,-9.41,94.9,95.75,1,23699.1,22316.0,2225,OK
10,MI,1,85.95,91.16,-5.21,85.0,91.16,1,23891.4,22441.4,2220,OK
11,MI,1,85.82,88.0,-2.18,85.0,88.0,1,24086.8,22636.8,2218,OK
12,MI,1,85.22,86.34,-1.12,85.0,86.34,1,24272.6,22822.6,2213,OK
13,MI,1,84.55,86.58,-2.03,85.0,86.58,1,24249.1,22832.6,2219,OK
14,MI,1,82.01,86.21,-4.2,84.55,86.21,1,24192.5,23049.9,2219,OK
15,MI,1,82.54,86.34,-3.8,84.55,86.34,1,24422.5,23208.3,2219,OK
16,MI,1,80.5,85.95,-5.45,84.55,85.95,1,24469.3,23326.7,2217,OK
17,MI,1,79.3,85.2,-5.9,84.55,85.2,1,24490.8,23448.2,2232,OK
18,MI,1,75.93,84.55,-8.62,84.55,85.0,1,24588.3,23411.6,2235,OK
19,MI,1,75.4,83.2,-7.8,82.54,83.2,1,24629.3,23429.3,2234,OK
20,MI,1,71.05,82.36,-11.31,80.48,82.59,1,24710.4,23360.4,2232,OK
21,MI,1,79.3,85.52,-6.22,84.55,85.52,1,24898.4,23825.8,2230,OK
22,MI,1,80.41,85.95,-5.54,84.55,85.95,1,24968.3,23865.7,2237,OK
23,MI,1,82.54,86.34,-3.8,84.55,86.34,1,25019.0,23784.8,2238,OK
24,MI,1,85.95,92.27,-6.32,88.57,92.94,1,25114.6,23648.0,2224,OK
25,MI,1,85.95,92.95,-7.0,90.0,92.95,1,25934.3,24431.7,2255,OK
26,MI,1,75.0,90.1,-15.1,90.0,90.1,1,25297.1,24201.9,2250,OK
27,MI,1,82.54,97.5,-14.96,97.5,97.5,1,25177.6,24296.5,2246,OK
28,MI,1,97.5,107.19,-9.69,107.19,107.55,1,25422.2,24461.0,2246,OK
29,MI,1,89.7,105.01,-15.31,105.01,105.03,1,27202.1,26137.0,2283,OK
30,MI,1,104.9,109.56,-4.66,109.56,110.0,1,27387.8,26882.8,2291,OK
31,MI,1,107.01,110.96,-3.95,110.01,111.0,1,27528.0,27275.1,2302,OK
32,MI,1,109.3,114.43,-5.13,113.02,114.43,1,27886.5,27294.5,2296,OK
33,MI,1,114.77,125.4,-10.63,125.4,125.71,1,29015.5,28484.9,2599,OK
34,MI,1,114.89,125.4,-10.51,125.4,125.49,1,29205.9,28723.0,2816,OK
35,MI,1,113.88,123.36,-9.48,123.0,123.52,1,29225.6,28797.6,3012,OK
36,MI,1,112.48,121.26,-8.78,121.26,121.94,1,29538.5,28971.3,3256,OK
37,MI,1,116.39,131.25,-14.86,130.5,131.25,1,32099.2,31422.5,3386,OK
