period,zone,price_engine,price_official,diff,coherence
1,NORD,226.0,225.32249,0.68,OK
1,CNOR,226.0,225.32249,0.68,OK
1,CSUD,226.0,225.32249,0.68,OK
1,SUD,226.0,225.32249,0.68,OK
1,CALA,226.0,225.32249,0.68,OK
1,SICI,398.75,398.75,0.0,OK
1,SARD,226.0,225.32249,0.68,OK
2,NORD,225.0,225.0,0.0,OK
2,CNOR,225.0,225.0,0.0,OK
2,CSUD,225.0,225.0,0.0,OK
2,SUD,225.0,225.0,0.0,OK
2,CALA,225.0,225.0,0.0,OK
2,SICI,390.21,390.21,0.0,OK
2,SARD,225.0,225.0,0.0,OK
3,NORD,225.0,225.0,0.0,OK
3,CNOR,225.0,225.0,0.0,OK
3,CSUD,225.0,225.0,0.0,OK
3,SUD,225.0,225.0,0.0,OK
3,CALA,225.0,225.0,0.0,OK
3,SICI,390.21,390.21,0.0,OK
3,SARD,225.0,225.0,0.0,OK
4,NORD,221.45,221.45,0.0,OK
4,CNOR,221.45,221.45,0.0,OK
4,CSUD,221.45,221.45,0.0,OK
4,SUD,221.45,221.45,0.0,OK
4,CALA,221.45,221.45,0.0,OK
4,SICI,390.21,390.21,0.0,OK
4,SARD,221.45,221.45,0.0,OK
5,NORD,220.96,220.96,0.0,OK
5,CNOR,220.96,220.96,0.0,OK
5,CSUD,220.96,220.96,0.0,OK
5,SUD,220.96,220.96,0.0,OK
5,CALA,220.96,220.96,0.0,OK
5,SICI,390.21,390.21,0.0,OK
5,SARD,220.96,220.96,0.0,OK
6,NORD,220.3,220.3,0.0,OK
6,CNOR,220.3,220.3,0.0,OK
6,CSUD,220.3,220.3,0.0,OK
6,SUD,220.3,220.3,0.0,OK
6,CALA,220.3,220.3,0.0,OK
6,SICI,390.21,390.21,0.0,OK
6,SARD,220.3,220.3,0.0,OK
7,NORD,208.96,208.96,0.0,OK
7,CNOR,208.96,208.96,0.0,OK
7,CSUD,208.96,208.96,0.0,OK
7,SUD,208.96,208.96,0.0,OK
7,CALA,208.96,208.96,0.0,OK
7,SICI,390.21,390.21,0.0,OK
7,SARD,208.96,208.96,0.0,OK
8,NORD,207.93,207.93,0.0,OK
8,CNOR,207.93,207.93,0.0,OK
8,CSUD,207.93,207.93,0.0,OK
8,SUD,207.93,207.93,0.0,OK
8,CALA,207.93,207.93,0.0,OK
8,SICI,390.21,390.21,0.0,OK
8,SARD,207.93,207.93,0.0,OK
9,NORD,206.49,206.49,0.0,OK
9,CNOR,206.49,206.49,0.0,OK
9,CSUD,206.49,206.49,0.0,OK
9,SUD,206.49,206.49,0.0,OK
9,CALA,206.49,206.49,0.0,OK
9,SICI,390.21,390.21,0.0,OK
9,SARD,206.49,206.49,0.0,OK
10,NORD,198.0,196.25973,1.74,OK
10,CNOR,198.0,196.25973,1.74,OK
10,CSUD,198.0,196.25973,1.74,OK
10,SUD,198.0,196.25973,1.74,OK
10,CALA,198.0,196.25973,1.74,OK
10,SICI,390.21,390.21,0.0,OK
10,SARD,198.0,196.25973,1.74,OK
11,NORD,198.93,198.93,0.0,OK
11,CNOR,198.93,198.93,0.0,OK
11,CSUD,198.93,198.93,0.0,OK
11,SUD,198.93,198.93,0.0,OK
11,CALA,198.93,198.93,0.0,OK
11,SICI,350.47,350.47,0.0,OK
11,SARD,198.93,198.93,0.0,OK
12,NORD,195.05,195.05,0.0,OK
12,CNOR,195.05,195.05,0.0,OK
12,CSUD,195.05,195.05,0.0,OK
12,SUD,195.05,195.05,0.0,OK
12,CALA,195.05,195.05,0.0,OK
12,SICI,350.47,350.47,0.0,OK
12,SARD,195.05,195.05,0.0,OK
13,NORD,206.5,206.5,0.0,OK
13,CNOR,206.5,206.5,0.0,OK
13,CSUD,206.5,206.5,0.0,OK
13,SUD,206.5,206.5,0.0,OK
13,CALA,206.5,206.5,0.0,OK
13,SICI,350.47,350.47,0.0,OK
13,SARD,206.5,206.5,0.0,OK
