block,zone,side,price,mar,volume,status_official,status_engine,ratio_engine,ratio_official,weighted_price
995898600182484,CALA,-1,146.0,1.0,22096.5,REJ,rejected,0.0,0.0,145.14472432285658
995898600182485,CALA,-1,146.5,1.0,25325.100000000002,REJ,rejected,0.0,0.0,144.92720857963047
995898600182486,CALA,-1,144.0,1.0,7187.7,ACC,accepted,1.0,1.0,165.382610988216
995898599468689,NORD,-1,191.0,1.0,2319.6,REJ,rejected,0.0,0.0,172.4123948094499
995898599721063,SUD,-1,171.0,1.0,19695.2,REJ,rejected,0.0,0.0,146.02369084853163
995898599721064,SUD,-1,180.0,1.0,13442.4,REJ,rejected,0.0,0.0,154.00224111765758
995898599758700,NORD,-1,171.18,1.0,47776.0,REJ,rejected,0.0,0.0,141.42843373241794
995898599758701,NORD,-1,178.18,1.0,23780.0,REJ,rejected,0.0,0.0,156.91857695542473
995898599937777,CSUD,-1,141.13,1.0,11099.0,ACC,accepted,1.0,1.0,147.0073430038742
995898599937778,CSUD,-1,143.13,1.0,11792.0,ACC,accepted,1.0,1.0,147.75190213704207
995898599937781,CSUD,-1,130.12,1.0,9100.0,ACC,accepted,1.0,1.0,142.31502747252748
995898599937779,CSUD,-1,148.31,1.0,9296.0,ACC,accepted,1.0,1.0,160.2424946213425
995898599937780,CSUD,-1,150.31,1.0,7510.5,ACC,accepted,1.0,1.0,162.64746954264032
995898599951019,NORD,-1,154.13,0.85,1682.8,ACC,accepted,1.0,1.0,167.5367827430473
995898599758703,NORD,-1,170.18,1.0,73520.0,REJ,rejected,0.0,0.0,146.57235663764962
995898599758706,NORD,-1,179.18,1.0,23020.0,REJ,rejected,0.0,0.0,141.43967332754127
995898599758707,NORD,-1,190.18,1.0,11392.0,REJ,rejected,0.0,0.0,156.9447094452247
995898600066002,CALA,-1,152.31,1.0,24784.0,REJ,rejected,0.0,0.0,150.77538653970305
995898600066003,CALA,-1,157.43,1.0,12368.0,REJ,rejected,0.0,0.0,146.54879204398446
995898600066004,CALA,-1,169.21,1.0,12416.0,REJ,rejected,0.0,0.0,154.98564110824742
995898599937782,NORD,-1,167.96,1.0,8693.0,REJ,rejected,0.0,0.0,159.69631312550328
995898599713490,CSUD,-1,290.0,1.0,8320.0,REJ,rejected,0.0,0.0,157.5
995898599758696,NORD,-1,175.18,1.0,33184.0,REJ,rejected,0.0,0.0,146.58129158630666
995898597706039,SARD,-1,0.0,1.0,1080.0,ACC,accepted,1.0,1.0,130.2948611111111
995898599758697,CSUD,-1,117.18,1.0,8659.0,ACC,accepted,1.0,1.0,138.4544231435501
995898599758698,CSUD,-1,170.18,1.0,22972.0,REJ,rejected,0.0,0.0,145.0403791572349
995898599758699,CSUD,-1,169.18,1.0,11380.0,REJ,rejected,0.0,0.0,157.57833919156414
995898600010874,NORD,-1,136.92,1.0,13925.0,ACC,accepted,1.0,1.0,142.95350161579893
995898600010876,NORD,-1,108.54,1.0,7432.0,ACC,accepted,1.0,1.0,140.94223762109795
995898600010877,NORD,-1,146.56,1.0,11710.0,ACC,accepted,1.0,1.0,156.3841050384287
995898599600196,NORD,-1,194.0,1.0,7670.0,REJ,rejected,0.0,0.0,161.05319074315514
995898599605292,NORD,-1,127.5,0.478,10062.0,ACC,accepted,1.0,1.0,139.00552285827868
995898600065999,NORD,-1,142.7,1.0,14412.0,PREJ,paradoxically_rejected,0.0,0.0,143.66209339439354
995898600066007,NORD,-1,158.79,1.0,8808.0,REJ,rejected,0.0,0.0,135.3346026339691
995898600066008,NORD,-1,145.81,1.0,17356.0,REJ,rejected,0.0,0.0,145.08244123069832
995898600066000,NORD,-1,137.98,1.0,10908.0,REJ,paradoxically_rejected,0.0,0.0,139.35781444811147
995898600066001,NORD,-1,153.4,1.0,16952.0,ACC,accepted,1.0,1.0,160.9894207173195
995898599937774,SUD,-1,141.79,1.0,11144.0,ACC,accepted,1.0,1.0,147.04571338837042
995898599937776,SUD,-1,141.79,1.0,13262.0,ACC,accepted,1.0,1.0,147.8652186698839
995898599937775,SUD,-1,135.55,1.0,9217.0,ACC,accepted,1.0,1.0,143.07840729087556
995898599937772,SUD,-1,148.95,1.0,9261.0,ACC,accepted,1.0,1.0,160.27138861893965
995898599937773,SUD,-1,150.95,1.0,7881.5,ACC,accepted,1.0,1.0,163.30662817991498
995898600065993,NORD,-1,166.66,1.0,12532.0,REJ,rejected,0.0,0.0,146.47252074688797
995898600065994,NORD,-1,176.43,1.0,12448.0,REJ,rejected,0.0,0.0,154.31534061696658
995898600291728,SUD,-1,134.0,0.7,16040.0,ACC,accepted,1.0,1.0,149.2085704488778
995898600291729,SUD,-1,135.0,0.7,8784.0,ACC,paradoxically_rejected,0.0,0.96,137.78585040983606
995898600291731,SUD,-1,120.0,0.1,484.0,ACC,accepted,1.0,1.0,146.76090909090908
995898600291730,SUD,-1,130.0,0.7,10664.0,ACC,accepted,1.0,1.0,159.37639816204052
995898599600000,NORD,-1,216.0,0.8,1142.4,REJ,rejected,0.0,0.0,161.04491071428572
995898600149570,CALA,-1,158.35,0.9,23590.399999999998,REJ,rejected,0.0,0.0,144.95931599294627
995898600149569,CALA,-1,160.73,0.9,7920.8,PREJ,paradoxically_rejected,0.0,0.0,161.65952163922836
995898599758702,NORD,-1,175.18,1.0,34056.0,REJ,rejected,0.0,0.0,146.5881835799859
995898599758704,NORD,-1,171.18,1.0,48200.0,REJ,rejected,0.0,0.0,141.432544813278
995898599758705,NORD,-1,178.18,1.0,23948.0,REJ,rejected,0.0,0.0,156.97476532487056
995898599534663,CALA,-1,138.0,1.0,17185.2,ACC,accepted,1.0,1.0,149.37587808113958
995898599534664,CALA,-1,141.0,1.0,8309.1,REJ,rejected,0.0,0.0,136.4833139569869
995898599534665,CALA,-1,141.0,1.0,11116.3,REJ,rejected,0.0,0.0,137.75600307656325
995898599534666,CALA,-1,138.0,1.0,8950.9,ACC,accepted,1.0,1.0,162.94980739366991
995898600091823,CSUD,-1,150.5,0.9,14021.6,REJ,rejected,0.0,0.0,149.46900025674674
995898600091824,CSUD,-1,151.0,0.9,10337.699999999999,REJ,rejected,0.0,0.0,138.95916132215098
995898600091822,CSUD,-1,155.0,0.9,7634.3,ACC,accepted,1.0,1.0,162.61171436804946
995898600141643,CSUD,-1,150.0,0.9,14058.4,REJ,rejected,0.0,0.0,149.46754047402266
995898600141644,CSUD,-1,155.0,0.9,9064.9,REJ,rejected,0.0,0.0,137.9592175313572
995898600141642,CSUD,-1,154.0,0.9,8956.7,ACC,accepted,1.0,1.0,160.18705293244165
995898599937770,SUD,-1,159.66,1.0,32568.0,REJ,rejected,0.0,0.0,149.15542986981086
