period,arc,flow_engine,flow_official,limit,limit_reverse
1,CALA-SICI,-238.2,-238.2,1638.0,1596.0
1,CALA-SUD,1387.0,1387.0,2744.0,2144.0
1,CNOR-CSUD,-1155.0,-1285.0,1957.0,3018.0
1,CNOR-NORD,396.1,396.1,4246.0,4103.0
1,CSUD-SARD,-82.2,-212.2,720.0,870.0
1,CSUD-SUD,-3234.5,-3234.5,2725.0,4851.0
2,CALA-SICI,-308.1,-308.1,1638.0,1596.0
2,CALA-SUD,1475.3,1475.3,2744.0,2144.0
2,CNOR-CSUD,-1344.8,-1474.8,1957.0,3018.0
2,CNOR-NORD,588.7,588.7,4246.0,4103.0
2,CSUD-SARD,-49.1,-179.1,720.0,870.0
2,CSUD-SUD,-3388.9,-3388.9,2725.0,4851.0
3,CALA-SICI,-323.4,-323.4,1638.0,1596.0
3,CALA-SUD,1517.9,1517.9,2744.0,2144.0
3,CNOR-CSUD,-2035.8,-2165.8,1957.0,3018.0
3,CNOR-NORD,1212.6,1212.6,4246.0,4103.0
3,CSUD-SARD,-476.8,-606.8,720.0,870.0
3,CSUD-SUD,-3555.7,-3555.7,2725.0,4851.0
4,CALA-SICI,-436.5,-436.5,1638.0,1596.0
4,CALA-SUD,1640.1,1641.2,2744.0,2144.0
4,CNOR-CSUD,-2328.5,-2459.6,1957.0,3018.0
4,CNOR-NORD,1563.0,1564.1,4246.0,4103.0
4,CSUD-SARD,-495.0,-625.0,720.0,870.0
4,CSUD-SUD,-3755.2,-3756.3,2725.0,4851.0
5,CALA-SICI,-452.3,-452.3,1638.0,1596.0
5,CALA-SUD,1659.4,1659.4,2744.0,2144.0
5,CNOR-CSUD,-1920.7,-2050.7,1957.0,3018.0
5,CNOR-NORD,1264.2,1264.2,4246.0,4103.0
5,CSUD-SARD,-112.5,-242.5,720.0,870.0
5,CSUD-SUD,-3647.3,-3647.3,2725.0,4851.0
6,CALA-SICI,-470.2,-470.2,1638.0,1596.0
6,CALA-SUD,1686.9,1686.9,2744.0,2144.0
6,CNOR-CSUD,-2160.2,-2290.2,1957.0,3018.0
6,CNOR-NORD,1388.4,1388.4,4246.0,4103.0
6,CSUD-SARD,-116.3,-246.3,720.0,870.0
6,CSUD-SUD,-3772.9,-3772.9,2725.0,4851.0
7,CALA-SICI,-478.8,-478.8,1638.0,1596.0
7,CALA-SUD,1703.1,1703.1,2744.0,2144.0
7,CNOR-CSUD,-2209.4,-2339.4,1957.0,3018.0
7,CNOR-NORD,1423.5,1423.5,4246.0,4103.0
7,CSUD-SARD,-128.5,-258.5,720.0,870.0
7,CSUD-SUD,-3749.0,-3749.0,2725.0,4851.0
8,CALA-SICI,-494.0,-493.8,1638.0,1596.0
8,CALA-SUD,1727.8,1727.6,2744.0,2144.0
8,CNOR-CSUD,-2259.1,-2392.6,1957.0,3018.0
8,CNOR-NORD,1497.8,1517.3,4246.0,4103.0
8,CSUD-SARD,-136.6,-264.7,720.0,870.0
8,CSUD-SUD,-3854.0,-3862.0,2725.0,4851.0
9,CALA-SICI,-536.8,-536.8,1648.0,1646.0
9,CALA-SUD,1658.5,1658.5,2744.0,2144.0
9,CNOR-CSUD,-2638.1,-2749.4,1894.0,2930.0
9,CNOR-NORD,1878.1,1878.1,4315.0,4236.0
9,CSUD-SARD,-351.6,-462.9,720.0,870.0
9,CSUD-SUD,-3761.3,-3761.3,2521.0,4851.0
10,CALA-SICI,-591.3,-591.3,1648.0,1646.0
10,CALA-SUD,1729.3,1729.3,2744.0,2144.0
10,CNOR-CSUD,-2818.7,-2930.0,1894.0,2930.0
10,CNOR-NORD,2103.7,2103.7,4315.0,4236.0
10,CSUD-SARD,-359.2,-470.5,720.0,870.0
10,CSUD-SUD,-3918.2,-3918.2,2521.0,4851.0
11,CALA-SICI,-576.7,-576.7,1648.0,1646.0
11,CALA-SUD,1679.8,1679.8,2744.0,2144.0
11,CNOR-CSUD,-2493.5,-2604.8,1894.0,2930.0
11,CNOR-NORD,1738.9,1738.9,4315.0,4236.0
11,CSUD-SARD,-156.5,-267.8,720.0,870.0
11,CSUD-SUD,-3784.2,-3784.2,2521.0,4851.0
12,CALA-SICI,-539.9,-539.9,1648.0,1646.0
12,CALA-SUD,1659.0,1659.0,2744.0,2144.0
12,CNOR-CSUD,-2582.0,-2693.3,1894.0,2930.0
12,CNOR-NORD,1849.3,1849.3,4315.0,4236.0
12,CSUD-SARD,-176.0,-287.3,720.0,870.0
12,CSUD-SUD,-3806.8,-3806.8,2521.0,4851.0
13,CALA-SICI,-557.3,-557.3,1648.0,1646.0
13,CALA-SUD,1678.1,1678.1,2744.0,1998.0
13,CNOR-CSUD,-2773.1,-2915.1,1894.0,2930.0
13,CNOR-NORD,2086.9,2086.9,4315.0,4236.0
13,CSUD-SARD,-546.3,-688.3,720.0,870.0
13,CSUD-SUD,-3810.1,-3810.1,2521.0,4851.0
14,CALA-SICI,-561.8,-561.8,1648.0,1646.0
14,CALA-SUD,1671.6,1671.6,2744.0,1998.0
14,CNOR-CSUD,-2740.1,-2882.1,1894.0,2930.0
14,CNOR-NORD,2055.5,2055.5,4315.0,4236.0
14,CSUD-SARD,-551.4,-693.4,720.0,870.0
14,CSUD-SUD,-3776.4,-3776.4,2521.0,4851.0
15,CALA-SICI,-605.8,-605.8,1648.0,1646.0
15,CALA-SUD,1734.5,1734.5,2744.0,1998.0
15,CNOR-CSUD,-2684.2,-2826.2,1894.0,2930.0
15,CNOR-NORD,1990.1,1990.1,4315.0,4236.0
15,CSUD-SARD,-181.4,-323.4,720.0,870.0
15,CSUD-SUD,-3884.4,-3884.4,2521.0,4851.0
16,CALA-SICI,-587.3,-587.3,1648.0,1646.0
16,CALA-SUD,1722.5,1722.5,2744.0,1998.0
16,CNOR-CSUD,-2732.5,-2874.5,1894.0,2930.0
16,CNOR-NORD,2037.8,2037.8,4315.0,4236.0
16,CSUD-SARD,-177.3,-319.3,720.0,870.0
16,CSUD-SUD,-3881.9,-3881.9,2521.0,4851.0
17,CALA-SICI,-538.1,-538.1,1652.0,1608.0
17,CALA-SUD,1435.5,1435.5,2880.0,1689.0
17,CNOR-CSUD,-2563.3,-2705.3,1808.0,2965.0
17,CNOR-NORD,1827.6,1827.6,4248.0,3330.0
17,CSUD-SARD,-598.4,-740.4,720.0,870.0
17,CSUD-SUD,-3425.0,-3425.0,2746.0,3425.0
18,CALA-SICI,-571.0,-571.0,1652.0,1608.0
18,CALA-SUD,1371.5,1371.5,2880.0,1689.0
18,CNOR-CSUD,-2529.8,-2666.2,1808.0,2965.0
18,CNOR-NORD,1824.1,1816.7,4248.0,3330.0
18,CSUD-SARD,-591.4,-732.8,720.0,870.0
18,CSUD-SUD,-3425.0,-3425.0,2746.0,3425.0
19,CALA-SICI,-516.2,-516.2,1652.0,1608.0
19,CALA-SUD,1399.8,1399.8,2880.0,1689.0
19,CNOR-CSUD,-2622.3,-2764.3,1808.0,2965.0
19,CNOR-NORD,1929.9,1929.9,4248.0,3330.0
19,CSUD-SARD,-595.6,-737.6,720.0,870.0
19,CSUD-SUD,-3425.0,-3425.0,2746.0,3425.0
20,CALA-SICI,-490.6,-490.6,1652.0,1608.0
20,CALA-SUD,1381.7,1381.7,2880.0,1689.0
20,CNOR-CSUD,-2609.5,-2751.5,1808.0,2965.0
20,CNOR-NORD,1977.4,1977.4,4248.0,3330.0
20,CSUD-SARD,-466.6,-608.6,720.0,870.0
20,CSUD-SUD,-3425.0,-3425.0,2746.0,3425.0
21,CALA-SICI,-487.6,-487.6,1652.0,1608.0
21,CALA-SUD,1310.2,1310.2,2880.0,1689.0
21,CNOR-CSUD,-2513.9,-2651.9,1808.0,2965.0
21,CNOR-NORD,1754.4,1754.4,4148.0,3330.0
21,CSUD-SARD,-621.6,-759.6,720.0,870.0
21,CSUD-SUD,-3425.0,-3425.0,2746.0,3425.0
22,CALA-SICI,-470.0,-470.0,1652.0,1608.0
22,CALA-SUD,1292.3,1292.3,2880.0,1689.0
22,CNOR-CSUD,-2441.4,-2579.4,1808.0,2965.0
22,CNOR-NORD,1684.9,1684.9,4148.0,3330.0
22,CSUD-SARD,-610.2,-748.2,720.0,870.0
22,CSUD-SUD,-3425.0,-3425.0,2746.0,3425.0
23,CALA-SICI,-435.2,-435.2,1652.0,1608.0
23,CALA-SUD,1351.1,1351.1,2880.0,1689.0
23,CNOR-CSUD,-1825.6,-1963.6,1808.0,2965.0
23,CNOR-NORD,1144.0,1144.0,4148.0,3330.0
23,CSUD-SARD,-179.8,-317.8,720.0,870.0
23,CSUD-SUD,-3425.0,-3425.0,2746.0,3425.0
24,CALA-SICI,-324.2,-324.2,1652.0,1608.0
24,CALA-SUD,1362.9,1362.9,2880.0,1689.0
24,CNOR-CSUD,-2323.7,-2461.7,1808.0,2965.0
24,CNOR-NORD,1966.9,1966.9,4148.0,3330.0
24,CSUD-SARD,-595.6,-733.6,720.0,870.0
24,CSUD-SUD,-3425.0,-3425.0,2746.0,3425.0
25,CALA-SICI,-246.9,-246.9,1668.0,1574.0
25,CALA-SUD,1763.8,1763.8,2856.0,1692.0
25,CNOR-CSUD,-2138.7,-2268.7,1793.0,3057.0
25,CNOR-NORD,1224.0,1224.0,4405.0,3587.0
25,CSUD-SARD,-554.6,-684.6,720.0,900.0
25,CSUD-SUD,-3713.0,-3713.0,3343.0,3713.0
26,CALA-SICI,-203.2,-207.1,1668.0,1574.0
26,CALA-SUD,1791.9,1800.8,2856.0,1692.0
26,CNOR-CSUD,-2132.0,-2262.0,1793.0,3057.0
26,CNOR-NORD,1398.1,1398.1,4405.0,3587.0
26,CSUD-SARD,-527.0,-657.0,720.0,900.0
26,CSUD-SUD,-3713.0,-3713.0,3343.0,3713.0
27,CALA-SICI,-206.4,-206.4,1668.0,1574.0
27,CALA-SUD,1863.1,1863.1,2856.0,1692.0
27,CNOR-CSUD,-2295.2,-2425.2,1793.0,3057.0
27,CNOR-NORD,1429.0,1429.0,4405.0,3587.0
27,CSUD-SARD,-555.7,-685.7,720.0,900.0
27,CSUD-SUD,-3713.0,-3713.0,3343.0,3713.0
28,CALA-SICI,-212.7,-212.7,1668.0,1574.0
28,CALA-SUD,1911.9,1911.9,2856.0,1692.0
28,CNOR-CSUD,-2354.6,-2484.6,1793.0,3057.0
28,CNOR-NORD,1377.9,1377.9,4405.0,3587.0
28,CSUD-SARD,-514.4,-644.4,720.0,900.0
28,CSUD-SUD,-3713.0,-3713.0,3343.0,3713.0
29,CALA-SICI,4.8,4.8,1668.0,1574.0
29,CALA-SUD,1845.9,1845.9,2856.0,1692.0
29,CNOR-CSUD,-1390.0,-1520.0,1793.0,3057.0
29,CNOR-NORD,156.4,156.4,4105.0,3587.0
29,CSUD-SARD,-355.5,-485.5,720.0,900.0
29,CSUD-SUD,-3546.5,-3546.5,3343.0,3713.0
30,CALA-SICI,-240.7,-240.7,1668.0,1574.0
30,CALA-SUD,2072.3,2072.3,2856.0,1692.0
30,CNOR-CSUD,-1820.6,-1950.6,1793.0,3057.0
30,CNOR-NORD,487.6,487.6,4105.0,3587.0
30,CSUD-SARD,-380.3,-510.3,720.0,900.0
30,CSUD-SUD,-3713.0,-3713.0,3343.0,3713.0
31,CALA-SICI,-273.5,-273.5,1668.0,1574.0
31,CALA-SUD,2078.5,2078.5,2856.0,1692.0
31,CNOR-CSUD,-2065.3,-2195.3,1793.0,3057.0
31,CNOR-NORD,638.6,638.6,4105.0,3587.0
31,CSUD-SARD,-602.4,-732.4,720.0,900.0
31,CSUD-SUD,-3713.0,-3713.0,3343.0,3713.0
32,CALA-SICI,-421.7,-421.7,1668.0,1574.0
32,CALA-SUD,2176.4,2176.4,2856.0,1692.0
32,CNOR-CSUD,-2033.9,-2163.9,1793.0,3057.0
32,CNOR-NORD,531.6,531.6,4105.0,3587.0
32,CSUD-SARD,-599.3,-729.3,720.0,900.0
32,CSUD-SUD,-3713.0,-3713.0,3343.0,3713.0
33,CALA-SICI,-174.2,-174.2,1634.0,1634.0
33,CALA-SUD,1921.5,1921.5,2791.0,1696.0
33,CNOR-CSUD,-2000.0,-2000.0,1543.0,2000.0
33,CNOR-NORD,334.7,334.6,3625.0,2867.0
33,CSUD-SARD,-783.4,-783.4,720.0,900.0
33,CSUD-SUD,-3477.0,-3477.0,3343.0,3477.0
34,CALA-SICI,-64.9,-64.9,1634.0,1634.0
34,CALA-SUD,1801.8,1801.8,2791.0,1696.0
34,CNOR-CSUD,-2000.0,-2000.0,1543.0,2000.0
34,CNOR-NORD,274.8,274.8,3625.0,2867.0
34,CSUD-SARD,-809.0,-809.0,720.0,900.0
34,CSUD-SUD,-3477.0,-3477.0,3343.0,3477.0
35,CALA-SICI,-74.1,-74.1,1634.0,1634.0
35,CALA-SUD,1796.1,1796.1,2791.0,1696.0
35,CNOR-CSUD,-2000.0,-2000.0,1543.0,2000.0
35,CNOR-NORD,189.5,189.5,3625.0,2867.0
