period,arc,flow_engine,flow_official,limit,limit_reverse
1,CALA-SICI,900.0,900.0,900.0,900.0
1,CALA-SUD,-413.3,-413.3,2040.0,1722.0
1,CNOR-CSUD,132.2,132.2,3164.0,3833.0
1,CNOR-NORD,-1775.5,-1775.5,2891.0,2848.0
1,CSUD-SARD,-283.0,-283.0,720.0,870.0
1,CSUD-SUD,-1701.1,-1701.1,4501.0,4372.0
2,CALA-SICI,900.0,900.0,900.0,900.0
2,CALA-SUD,-484.9,-484.9,2040.0,1722.0
2,CNOR-CSUD,843.3,843.3,3164.0,3833.0
2,CNOR-NORD,-2475.8,-2475.8,2891.0,2848.0
2,CSUD-SARD,-302.3,-302.3,720.0,870.0
2,CSUD-SUD,-1402.3,-1402.3,4501.0,4372.0
3,CALA-SICI,900.0,900.0,900.0,900.0
3,CALA-SUD,-459.8,-459.8,2040.0,1722.0
3,CNOR-CSUD,830.9,830.9,3164.0,3833.0
3,CNOR-NORD,-2474.8,-2474.8,2891.0,2848.0
3,CSUD-SARD,-289.2,-289.2,720.0,870.0
3,CSUD-SUD,-1342.7,-1342.7,4501.0,4372.0
4,CALA-SICI,900.0,900.0,900.0,900.0
4,CALA-SUD,-440.8,-440.8,2040.0,1722.0
4,CNOR-CSUD,988.9,988.9,3164.0,3833.0
4,CNOR-NORD,-2592.6,-2592.6,2891.0,2848.0
4,CSUD-SARD,-267.8,-267.8,720.0,870.0
4,CSUD-SUD,-1263.5,-1263.5,4501.0,4372.0
5,CALA-SICI,900.0,900.0,900.0,900.0
5,CALA-SUD,-419.4,-419.4,2040.0,1722.0
5,CNOR-CSUD,1167.6,1167.6,3264.0,3833.0
5,CNOR-NORD,-2692.7,-2692.7,2891.0,2848.0
5,CSUD-SARD,-284.1,-284.1,720.0,870.0
5,CSUD-SUD,-827.7,-827.7,4501.0,4372.0
6,CALA-SICI,900.0,900.0,900.0,900.0
6,CALA-SUD,-413.4,-413.4,2040.0,1722.0
6,CNOR-CSUD,1064.2,1064.2,3264.0,3833.0
6,CNOR-NORD,-2637.4,-2637.4,2891.0,2848.0
6,CSUD-SARD,-258.3,-258.3,720.0,870.0
6,CSUD-SUD,-898.8,-898.8,4501.0,4372.0
7,CALA-SICI,900.0,900.0,900.0,900.0
7,CALA-SUD,-418.1,-418.1,2040.0,1722.0
7,CNOR-CSUD,1109.3,1108.9,3264.0,3833.0
