block,zone,side,price,mar,volume,status_official,status_engine,ratio_engine,ratio_official,weighted_price
995898164357613,CNOR,1,700.0,0.0,19.200000000000003,ACC,accepted,1.0,1.0,152.45291666666665
995898164357614,CSUD,1,700.0,0.0,107.2,ACC,accepted,1.0,1.0,145.72370335820895
995898164357612,NORD,1,700.0,0.0,129.2,ACC,accepted,1.0,1.0,152.94643962848298
995898164357619,CSUD,1,200.0,0.5,960.0,ACC,accepted,1.0,1.0,145.76239583333333
995898164357611,SUD,1,4000.0,0.0,28.799999999999997,ACC,accepted,1.0,1.0,129.1828125
995898164357609,CALA,1,3000.0,0.0,18.7,ACC,accepted,1.0,1.0,132.24320855614974
995898164357606,CSUD,1,3000.0,0.0,95.2,ACC,accepted,1.0,1.0,149.1294432773109
995898164357610,NORD,1,3000.0,0.0,18.2,ACC,accepted,1.0,1.0,157.40137362637364
995898164357608,SICI,1,3000.0,0.0,216.1,ACC,accepted,1.0,1.0,131.03781119851922
995898164357607,SUD,1,3000.0,0.0,290.2,ACC,accepted,1.0,1.0,127.7418366643694
995898164357617,CSUD,1,500.0,0.0,144.0,ACC,accepted,1.0,1.0,145.76239583333333
995898164357618,NORD,1,500.0,0.0,96.0,ACC,accepted,1.0,1.0,152.45291666666665
995898164047121,CALA,-1,130.8,1.0,9381.2,REJ,rejected,0.0,0.0,118.06282703705283
995898164047122,CALA,-1,129.2,1.0,6266.0,PREJ,forced_rejected,0.0,0.0,140.2994969677625
995898164047123,CALA,-1,129.2,1.0,7788.4,REJ,rejected,0.0,0.0,109.06847028914797
995898163406671,NORD,-1,140.0,1.0,6712.4,ACC,accepted,1.0,1.0,165.00900065550326
995898163406672,NORD,-1,160.0,1.0,839.6,ACC,accepted,1.0,1.0,169.34812291567414
995898163406870,CSUD,-1,137.0,1.0,7240.8,ACC,accepted,1.0,1.0,155.18677508010165
995898163596912,SUD,-1,121.0,1.0,9432.4,REJ,rejected,0.0,0.0,118.07915334379375
995898163596913,SUD,-1,124.0,1.0,14526.7,REJ,rejected,0.0,0.0,123.23362332807864
995898164112455,NORD,-1,166.18,1.0,22880.0,ACC,accepted,1.0,1.0,167.2134187062937
995898164112456,NORD,-1,180.18,0.0,23204.0,REJ,rejected,0.0,0.0,167.20586881572143
995898164520889,CSUD,-1,122.31,1.0,4991.0,ACC,accepted,1.0,1.0,124.1277840112202
995898164520888,CSUD,-1,123.29,1.0,12233.0,ACC,accepted,1.0,1.0,153.1545589798087
995898164520891,CSUD,-1,134.55,1.0,14688.0,ACC,accepted,1.0,1.0,147.98394267429194
995898164520890,CSUD,-1,136.2,1.0,8979.0,ACC,accepted,1.0,1.0,164.84946876044103
995898164222815,NORD,-1,168.98,0.85,2478.0,ACC,accepted,1.0,1.0,170.0499374495561
995898164112458,NORD,-1,162.18,1.0,21328.0,ACC,accepted,1.0,1.0,167.2008397411853
995898164520893,NORD,-1,128.87,1.0,5119.0,REJ,rejected,0.0,0.0,124.14718304356319
995898164520892,NORD,-1,120.08,1.0,12865.0,ACC,accepted,1.0,1.0,162.21942013214147
995898164520895,NORD,-1,132.46,1.0,15086.0,ACC,accepted,1.0,1.0,161.3571848071059
995898164520894,NORD,-1,138.41,1.0,9106.0,ACC,accepted,1.0,1.0,169.0946595651219
995898164042812,CSUD,-1,250.0,1.0,8320.0,REJ,rejected,0.0,0.0,159.6984375
995898164112454,NORD,-1,167.18,1.0,20776.0,REJ,paradoxically_rejected,0.0,0.0,167.2171019445514
