period,zone,price_engine,price_official,diff,coherence
1,NORD,131.59,131.59,0.0,OK
1,CNOR,131.59,131.59,0.0,OK
1,CSUD,131.59,131.59,0.0,OK
1,SUD,131.59,131.59,0.0,OK
1,CALA,131.59,131.59,0.0,OK
1,SICI,131.59,131.59,0.0,OK
1,SARD,131.59,131.59,0.0,OK
2,NORD,131.41,131.41,0.0,OK
2,CNOR,131.41,131.41,0.0,OK
2,CSUD,131.41,131.41,0.0,OK
2,SUD,131.41,131.41,0.0,OK
2,CALA,131.41,131.41,0.0,OK
2,SICI,131.41,131.41,0.0,OK
2,SARD,131.41,131.41,0.0,OK
3,NORD,123.0,123.0,0.0,OK
3,CNOR,123.0,123.0,0.0,OK
3,CSUD,123.0,123.0,0.0,OK
3,SUD,123.0,123.0,0.0,OK
3,CALA,123.0,123.0,0.0,OK
3,SICI,123.0,123.0,0.0,OK
3,SARD,123.0,123.0,0.0,OK
4,NORD,118.0,118.0,0.0,OK
4,CNOR,118.0,118.0,0.0,OK
4,CSUD,118.0,118.0,0.0,OK
4,SUD,118.0,118.0,0.0,OK
4,CALA,118.0,118.0,0.0,OK
4,SICI,118.0,118.0,0.0,OK
4,SARD,118.0,118.0,0.0,OK
5,NORD,126.32,126.32,0.0,OK
5,CNOR,126.32,126.32,0.0,OK
5,CSUD,126.32,126.32,0.0,OK
5,SUD,126.32,126.32,0.0,OK
5,CALA,126.32,126.32,0.0,OK
5,SICI,126.32,126.32,0.0,OK
5,SARD,126.32,126.32,0.0,OK
6,NORD,125.23,125.23,0.0,OK
6,CNOR,125.23,125.23,0.0,OK
6,CSUD,125.23,125.23,0.0,OK
6,SUD,125.23,125.23,0.0,OK
6,CALA,125.23,125.23,0.0,OK
6,SICI,125.23,125.23,0.0,OK
6,SARD,125.23,125.23,0.0,OK
7,NORD,124.9,124.9,0.0,OK
7,CNOR,124.9,124.9,0.0,OK
7,CSUD,124.9,124.9,0.0,OK
7,SUD,124.9,124.9,0.0,OK
7,CALA,124.9,124.9,0.0,OK
7,SICI,124.9,124.9,0.0,OK
7,SARD,124.9,124.9,0.0,OK
8,NORD,123.55,123.55,0.0,OK
8,CNOR,123.55,123.55,0.0,OK
8,CSUD,123.55,123.55,0.0,OK
8,SUD,123.55,123.55,0.0,OK
8,CALA,123.55,123.55,0.0,OK
8,SICI,123.55,123.55,0.0,OK
8,SARD,123.55,123.55,0.0,OK
9,NORD,123.0,123.0,0.0,OK
9,CNOR,123.0,123.0,0.0,OK
9,CSUD,123.0,123.0,0.0,OK
9,SUD,123.0,123.0,0.0,OK
9,CALA,123.0,123.0,0.0,OK
9,SICI,123.0,123.0,0.0,OK
9,SARD,123.0,123.0,0.0,OK
10,NORD,121.0,121.0,0.0,OK
10,CNOR,121.0,121.0,0.0,OK
10,CSUD,121.0,121.0,0.0,OK
10,SUD,121.0,121.0,0.0,OK
10,CALA,121.0,121.0,0.0,OK
10,SICI,121.0,121.0,0.0,OK
10,SARD,121.0,121.0,0.0,OK
11,NORD,125.23,125.23,0.0,OK
11,CNOR,125.23,125.23,0.0,OK
11,CSUD,125.23,125.23,0.0,OK
11,SUD,125.23,125.23,0.0,OK
11,CALA,125.23,125.23,0.0,OK
11,SICI,125.23,125.23,0.0,OK
11,SARD,125.23,125.23,0.0,OK
12,NORD,125.23,125.23,0.0,OK
12,CNOR,125.23,125.23,0.0,OK
12,CSUD,125.23,125.23,0.0,OK
12,SUD,125.23,125.23,0.0,OK
12,CALA,125.23,125.23,0.0,OK
12,SICI,125.23,125.23,0.0,OK
12,SARD,125.23,125.23,0.0,OK
13,NORD,112.0,110.70953,1.29,OK
13,CNOR,112.0,110.70953,1.29,OK
13,CSUD,112.0,110.70953,1.29,OK
13,SUD,112.0,110.70953,1.29,OK
13,CALA,112.0,110.70953,1.29,OK
13,SICI,112.0,110.70953,1.29,OK
13,SARD,112.0,110.70953,1.29,OK
14,NORD,114.4,114.4,0.0,OK
14,CNOR,114.4,114.4,0.0,OK
14,CSUD,114.4,114.4,0.0,OK
14,SUD,114.4,114.4,0.0,OK
14,CALA,114.4,114.4,0.0,OK
14,SICI,114.4,114.4,0.0,OK
14,SARD,114.4,114.4,0.0,OK
15,NORD,125.2,125.2,0.0,OK
15,CNOR,125.2,125.2,0.0,OK
