period,arc,flow_engine,flow_official,limit,limit_reverse
16,CALA-SICI,1305.4,1305.4,1655.0,1367.0
16,CALA-SUD,-760.1,-760.1,1931.0,1423.0
16,CNOR-CSUD,1524.5,1524.5,2625.0,3390.0
16,CNOR-NORD,-3032.0,-3032.0,2471.0,3032.0
16,CSUD-SARD,52.7,52.7,720.0,870.0
16,CSUD-SUD,-105.0,-105.0,2570.0,5345.0
17,CALA-SICI,1338.7,1338.7,1657.0,1355.0
17,CALA-SUD,-829.7,-829.7,1873.0,1366.0
17,CNOR-CSUD,1475.4,1475.4,2605.0,3371.0
17,CNOR-NORD,-2970.7,-2970.7,2454.0,3137.0
17,CSUD-SARD,-74.5,-74.5,720.0,870.0
17,CSUD-SUD,-76.8,-76.8,2812.0,4976.0
18,CALA-SICI,1348.4,1348.4,1657.0,1355.0
18,CALA-SUD,-836.3,-836.3,1873.0,1366.0
18,CNOR-CSUD,1465.3,1465.3,2605.0,3371.0
18,CNOR-NORD,-2959.7,-2959.7,2454.0,3137.0
18,CSUD-SARD,-78.2,-78.2,720.0,870.0
18,CSUD-SUD,-71.9,-71.9,2812.0,4976.0
19,CALA-SICI,1343.2,1342.8,1657.0,1355.0
19,CALA-SUD,-840.1,-839.7,1873.0,1366.0
19,CNOR-CSUD,1423.8,1423.8,2605.0,3371.0
19,CNOR-NORD,-2890.8,-2890.8,2454.0,3137.0
19,CSUD-SARD,-100.9,-100.9,720.0,870.0
19,CSUD-SUD,-77.1,-75.7,2812.0,4976.0
20,CALA-SICI,1373.0,1373.0,1657.0,1355.0
20,CALA-SUD,-879.4,-879.4,1873.0,1366.0
20,CNOR-CSUD,1560.7,1560.7,2605.0,3371.0
20,CNOR-NORD,-3054.8,-3054.8,2454.0,3137.0
20,CSUD-SARD,-102.3,-102.3,720.0,870.0
20,CSUD-SUD,24.7,24.7,2812.0,4976.0
21,CALA-SICI,1318.1,1318.1,1657.0,1355.0
21,CALA-SUD,-804.8,-804.8,1873.0,1366.0
21,CNOR-CSUD,1292.3,1292.3,2605.0,3371.0
21,CNOR-NORD,-2747.7,-2747.7,2454.0,3137.0
21,CSUD-SARD,-96.6,-96.6,720.0,870.0
21,CSUD-SUD,-169.8,-169.8,2812.0,4976.0
22,CALA-SICI,1292.6,1292.6,1657.0,1355.0
22,CALA-SUD,-778.4,-778.4,1873.0,1366.0
22,CNOR-CSUD,1239.8,1239.8,2605.0,3371.0
22,CNOR-NORD,-2673.9,-2673.9,2454.0,3137.0
22,CSUD-SARD,-99.2,-99.2,720.0,870.0
22,CSUD-SUD,-211.2,-211.2,2812.0,4976.0
23,CALA-SICI,1288.0,1288.0,1657.0,1355.0
23,CALA-SUD,-763.2,-763.2,1873.0,1366.0
23,CNOR-CSUD,1221.5,1221.5,2605.0,3371.0
23,CNOR-NORD,-2657.2,-2657.2,2454.0,3137.0
23,CSUD-SARD,-105.9,-105.9,720.0,870.0
23,CSUD-SUD,-229.6,-229.6,2812.0,4976.0
24,CALA-SICI,1236.5,1236.5,1657.0,1355.0
24,CALA-SUD,-719.1,-719.1,1873.0,1366.0
24,CNOR-CSUD,1185.5,1185.5,2605.0,3371.0
24,CNOR-NORD,-2650.1,-2650.1,2454.0,3137.0
24,CSUD-SARD,-106.8,-106.8,720.0,870.0
24,CSUD-SUD,-282.9,-282.9,2812.0,4976.0
25,CALA-SICI,1227.9,1227.9,1650.0,1405.0
25,CALA-SUD,-732.5,-732.5,1882.0,1273.0
25,CNOR-CSUD,1310.7,1310.7,2475.0,3782.0
25,CNOR-NORD,-2955.1,-2955.1,2934.0,3071.0
25,CSUD-SARD,-75.1,-75.1,720.0,900.0
25,CSUD-SUD,-266.3,-266.3,2443.0,5234.0
26,CALA-SICI,1286.3,1286.3,1650.0,1405.0
26,CALA-SUD,-802.3,-802.3,1882.0,1273.0
26,CNOR-CSUD,1371.4,1371.4,2475.0,3782.0
26,CNOR-NORD,-3044.5,-3044.5,2934.0,3071.0
26,CSUD-SARD,-87.7,-87.7,720.0,900.0
26,CSUD-SUD,-228.5,-228.5,2443.0,5234.0
27,CALA-SICI,1163.4,1178.3,1650.0,1405.0
27,CALA-SUD,-659.9,-674.8,1882.0,1273.0
27,CNOR-CSUD,1187.8,1198.6,2475.0,3782.0
27,CNOR-NORD,-2864.8,-2875.6,2934.0,3071.0
27,CSUD-SARD,-97.3,-97.3,720.0,900.0
27,CSUD-SUD,-413.6,-398.7,2443.0,5234.0
28,CALA-SICI,961.6,961.6,1650.0,1405.0
28,CALA-SUD,-466.2,-466.2,1882.0,1273.0
28,CNOR-CSUD,855.9,855.9,2475.0,3782.0
28,CNOR-NORD,-2613.7,-2613.7,2934.0,3071.0
28,CSUD-SARD,-113.5,-113.5,720.0,900.0
28,CSUD-SUD,-674.0,-674.0,2443.0,5234.0
29,CALA-SICI,738.5,738.5,1650.0,1405.0
29,CALA-SUD,-205.6,-205.6,1882.0,1273.0
29,CNOR-CSUD,204.8,204.8,2301.0,3782.0
29,CNOR-NORD,-2039.2,-2039.2,2834.0,3071.0
29,CSUD-SARD,-154.9,-154.9,720.0,900.0
29,CSUD-SUD,-1127.1,-1127.1,2443.0,5234.0
30,CALA-SICI,247.3,247.3,1650.0,1405.0
30,CALA-SUD,266.6,266.6,1882.0,1273.0
30,CNOR-CSUD,-342.7,-342.7,2301.0,3782.0
30,CNOR-NORD,-1546.7,-1546.7,2834.0,3071.0
30,CSUD-SARD,-194.3,-194.3,720.0,900.0
