block,zone,side,price,mar,volume,status_official,status_engine,ratio_engine,ratio_official,weighted_price
995898899171096,NORD,1,200.0,1.0,64.0,REJ,rejected,0.0,0.0,258.999375
995898899171097,NORD,1,210.0,1.0,32.0,REJ,rejected,0.0,0.0,258.999375
995898899171098,NORD,1,220.0,1.0,24.0,REJ,rejected,0.0,0.0,264.73083333333335
995898899171101,NORD,1,180.0,1.0,32.0,REJ,rejected,0.0,0.0,258.999375
995898899171104,NORD,1,170.0,1.0,24.0,REJ,rejected,0.0,0.0,259.55916666666667
995898899171102,NORD,1,190.0,1.0,24.0,REJ,rejected,0.0,0.0,220.6916666666667
995898898907561,CSUD,1,2000.0,0.5,960.0,ACC,accepted,1.0,1.0,219.35791666666668
995898898907562,CSUD,1,500.0,0.0,240.0,ACC,accepted,1.0,1.0,219.35791666666668
995898898907563,NORD,1,500.0,0.0,192.0,ACC,accepted,1.0,1.0,220.51364583333336
995898898907564,SICI,1,500.0,0.0,192.0,ACC,accepted,1.0,1.0,290.75104166666665
995898898907565,SUD,1,500.0,0.0,192.0,ACC,accepted,1.0,1.0,216.7121875
995898898907560,CSUD,1,4000.0,1.0,144.0,ACC,accepted,1.0,1.0,219.35791666666668
995898898907566,CSUD,1,400.0,0.0,192.0,ACC,accepted,1.0,1.0,219.35791666666668
